Tempo	Acel X	Acel Y	Acel Z
2024-02-18 04:06:01.927212	-2.739902344	3.084785156	8.947792969
2024-02-18 04:06:01.932463	-2.749482422	3.123105469	8.842412109
2024-02-18 04:06:01.937025	-2.921923828	2.988984375	8.842412109
2024-02-18 04:06:01.941730	-2.739902344	3.123105469	8.823251953
2024-02-18 04:06:01.946268	-2.711162109	3.103945313	8.832832031
2024-02-18 04:06:01.950804	-2.730322266	3.132685547	8.851992188
2024-02-18 04:06:01.955456	-2.749482422	2.998564453	8.823251953
2024-02-18 04:06:01.959992	-2.749482422	3.036884766	8.823251953
2024-02-18 04:06:01.964550	-2.701582031	3.132685547	8.842412109
2024-02-18 04:06:01.969173	-2.730322266	2.988984375	8.832832031
2024-02-18 04:06:01.973751	-2.701582031	3.084785156	8.851992188
2024-02-18 04:06:01.978297	-2.941083984	2.988984375	8.938212891
2024-02-18 04:06:01.983153	-2.739902344	2.998564453	8.957373047
2024-02-18 04:06:01.993895	-2.7590625	3.065625	8.842412109
2024-02-18 04:06:01.998972	-2.730322266	3.008144531	8.823251953
2024-02-18 04:06:02.3622	-2.749482422	2.998564453	8.957373047
2024-02-18 04:06:02.8269	-2.711162109	3.008144531	8.832832031
2024-02-18 04:06:02.12945	-2.701582031	3.103945313	8.842412109
2024-02-18 04:06:02.17557	-2.835703125	3.132685547	8.938212891
2024-02-18 04:06:02.22208	-2.730322266	3.084785156	8.957373047
2024-02-18 04:06:02.26801	-2.720742188	2.988984375	8.957373047
2024-02-18 04:06:02.31403	-2.749482422	3.132685547	8.832832031
2024-02-18 04:06:02.35929	-2.7590625	2.988984375	8.871152344
2024-02-18 04:06:02.40623	-2.730322266	3.123105469	8.832832031
2024-02-18 04:06:02.45209	-2.711162109	3.132685547	8.842412109
2024-02-18 04:06:02.51506	-2.730322266	3.103945313	8.947792969
2024-02-18 04:06:02.56197	-2.950664063	3.008144531	8.851992188
2024-02-18 04:06:02.60890	-2.950664063	2.988984375	8.832832031
2024-02-18 04:06:02.65765	-2.711162109	3.036884766	8.851992188
2024-02-18 04:06:02.70549	-2.720742188	2.988984375	8.851992188
2024-02-18 04:06:02.75153	-2.711162109	3.017724609	8.851992188
2024-02-18 04:06:02.79745	-2.749482422	3.132685547	8.842412109
2024-02-18 04:06:02.84462	-2.739902344	2.988984375	8.823251953
2024-02-18 04:06:02.89019	-2.711162109	3.027304688	8.842412109
2024-02-18 04:06:02.93656	-2.711162109	2.988984375	8.938212891
2024-02-18 04:06:02.98284	-2.7590625	3.103945313	8.851992188
2024-02-18 04:06:02.102860	-2.739902344	3.027304688	8.823251953
2024-02-18 04:06:02.107493	-2.7590625	2.998564453	8.823251953
2024-02-18 04:06:02.112225	-2.921923828	3.017724609	8.832832031
2024-02-18 04:06:02.119406	-2.749482422	3.123105469	8.832832031
2024-02-18 04:06:02.124058	-2.749482422	3.103945313	8.851992188
2024-02-18 04:06:02.128604	-2.931503906	3.008144531	8.938212891
2024-02-18 04:06:02.135812	-2.730322266	3.123105469	8.861572266
2024-02-18 04:06:02.140546	-2.931503906	3.017724609	8.832832031
2024-02-18 04:06:02.145963	-2.730322266	2.998564453	8.813671875
2024-02-18 04:06:02.150624	-2.720742188	3.123105469	8.823251953
2024-02-18 04:06:02.155089	-2.720742188	3.123105469	8.861572266
2024-02-18 04:06:02.159804	-2.720742188	3.094365234	8.861572266
2024-02-18 04:06:02.164419	-2.730322266	3.103945313	8.851992188
2024-02-18 04:06:02.168932	-2.701582031	3.008144531	8.861572266
2024-02-18 04:06:02.173594	-2.749482422	3.094365234	8.823251953
2024-02-18 04:06:02.178104	-2.7590625	2.998564453	8.842412109
2024-02-18 04:06:02.183023	-2.739902344	3.123105469	8.832832031
2024-02-18 04:06:02.187721	-2.720742188	3.103945313	8.823251953
2024-02-18 04:06:02.192322	-2.739902344	3.103945313	8.842412109
2024-02-18 04:06:02.197009	-2.711162109	3.132685547	8.832832031
2024-02-18 04:06:02.201610	-2.701582031	2.998564453	8.947792969
2024-02-18 04:06:02.206205	-2.739902344	3.132685547	8.832832031
2024-02-18 04:06:02.210926	-2.711162109	3.094365234	8.842412109
2024-02-18 04:06:02.215478	-2.701582031	3.132685547	8.957373047
2024-02-18 04:06:02.220497	-2.749482422	2.998564453	8.823251953
2024-02-18 04:06:02.225069	-2.921923828	3.008144531	8.813671875
2024-02-18 04:06:02.229750	-2.921923828	3.132685547	8.880732422
2024-02-18 04:06:02.234426	-2.720742188	3.017724609	8.842412109
2024-02-18 04:06:02.238996	-2.739902344	2.988984375	8.861572266
2024-02-18 04:06:02.243655	-2.711162109	2.988984375	8.832832031
2024-02-18 04:06:02.248324	-2.711162109	3.046464844	8.813671875
2024-02-18 04:06:02.252885	-2.730322266	3.027304688	8.957373047
2024-02-18 04:06:02.257404	-2.7590625	3.008144531	8.832832031
2024-02-18 04:06:02.262084	-2.749482422	3.123105469	8.832832031
2024-02-18 04:06:02.266681	-2.739902344	2.998564453	8.871152344
